EmployeeID,FirstName,LastName,Email,PhoneNumber,Address,DOB,SSN,JobTitle,Department,StartDate,Salary
3035,Shelby,Riddle,tracy67@example.net,(437)438-6655x860,"864 Joy Cape Suite 827, Johnsberg, UT 52710",1973-06-30,290-34-6058,"Scientist, research (life sciences)",Finance,2016-05-26,101997.94
6704,James,Gonzalez,cfoster@example.org,(467)319-1322,"7593 Todd Estate, Salinasland, PR 18330",2002-12-06,440-51-4206,TEFL teacher,IT,2016-09-30,107595.6
4731,Jonathan,Duncan,james77@example.org,695.612.5011,"12244 Montoya Forks Apt. 015, Lake Heather, MO 44826",1996-05-30,691-74-9744,"Producer, radio",Engineering,2018-02-28,43235.54
8403,Robert,Rosales,pkim@example.org,795.566.2042x163,"PSC 0672, Box 6994, APO AP 66357",1995-02-16,418-82-8763,"Scientist, physiological",Sales,2025-03-13,100998.65
6802,Paul,Goodman,sarabell@example.net,818-306-8721x6405,"39603 Richard Cape, North Benjamin, NE 84209",1966-08-05,693-42-8851,Market researcher,Finance,2018-02-03,43247.2
4382,Peter,Shannon,laurabryant@example.org,(585)212-6616x680,"3090 Matthews Center, Port Maryside, KS 05956",1967-09-03,401-49-8208,"Production designer, theatre/television/film",Sales,2017-01-10,71993.47
5426,Sonya,Gallegos,taylorjoseph@example.com,(248)219-9639,"77901 Denise Turnpike, West John, GA 02742",2000-12-07,161-79-6678,Primary school teacher,HR,2018-06-24,130250.59
8785,Nancy,Grant,jford@example.com,001-223-285-9125,"11627 Mckinney Flat Suite 954, West Janeland, ID 18383",1972-09-08,515-23-6026,Water engineer,Sales,2023-04-09,86012.55
7484,Reginald,Watson,pparker@example.net,001-985-521-9008x728,"45794 Richard Stravenue Apt. 958, Maynardstad, OK 55578",2005-04-23,483-15-8452,"Physicist, medical",IT,2018-12-05,123711.93
1679,Mariah,Anderson,imcdonald@example.net,+1-280-560-6667x27461,"63453 Tiffany Islands Apt. 930, Port Elijah, IL 42621",1998-07-09,610-92-3789,Armed forces logistics/support/administrative officer,Sales,2018-01-06,65053.72
2738,Jessica,Berry,cassandra46@example.org,391-476-1438x224,"1872 Harrison Garden, West Davidmouth, NM 53406",1971-02-07,585-51-8128,Orthoptist,Sales,2015-08-22,120473.91
9916,Shannon,Peterson,goodhenry@example.com,240.326.8657x836,"465 Amber Dale, Martinburgh, TN 59133",2004-11-03,766-51-7288,Volunteer coordinator,HR,2019-04-18,45430.19
2364,Charles,Stephens,adamsmelanie@example.org,5504228441,"PSC 5144, Box 8140, APO AE 34439",1987-10-21,331-35-7489,Ranger/warden,Engineering,2022-04-02,75905.68
